DATE,Analysed,Reference,vals,HOM
2019-06-19,-3427599.524836343,-1590899.6779288799,-1836699.846907463,-3427599.524836343
2019-06-20,-2050982.6287846528,-2130235.974180743,79253.3453960903,-2050982.6287846528
2019-06-21,-4356756.009426683,-554911.2053966969,-3801844.8040299863,-4356756.009426683
2019-06-22,-4129590.0330392234,-1469478.3193994612,-2660111.7136397623,-4129590.0330392234
2019-06-23,-2671040.04948039,-1717250.057973668,-953789.9915067218,-2671040.04948039
2019-06-24,-3970042.4428844564,4287.248338982463,-3974329.691223439,181913.18887036666
2019-06-25,-1254876.1820345223,-1542901.2407398075,288025.0587052852,-1254876.1820345223
2019-06-26,-3405844.67454339,-736836.1622118205,-2669008.5123315696,-3405844.67454339
2019-06-27,-2281971.037369823,-1733221.5944053382,-548749.4429644849,-2281971.037369823
2019-06-28,-2224132.3128348123,-1383173.734319374,-840958.5785154384,-2224132.3128348123
2019-06-29,-2375312.757316541,-1051739.4810934216,-1323573.2762231193,-2375312.757316541
2019-06-30,-39012.922812823206,-186891.21553449705,147878.29272167385,-39012.922812823206
2019-07-01,-2380049.1770502217,-281956.85265754163,-2098092.32439268,-2380049.1770502217
2019-07-02,-2082405.1184593253,-834232.5046900362,-1248172.613769289,-2082405.1184593253
2019-07-03,-4125715.6663954263,-1187620.2637129873,-2938095.402682439,-4125715.6663954263
2019-07-04,-4425097.891277862,276936.3132813126,-4702034.204559174,454562.2538126968
2019-07-05,-3956853.75920777,-1034155.7809527367,-2922697.9782550335,-3956853.75920777
2019-07-06,-4421691.25374078,593867.7357943207,-5015558.989535101,771493.6763257049
2019-07-07,-2721845.42003941,-1482797.1380217224,-1239048.2820176873,-2721845.42003941
2019-07-08,-2235195.6365061216,-1495340.6071839184,-739855.0293222032,-2235195.6365061216
2019-07-09,-685519.6032892549,-702446.3687442453,16926.765454990324,-685519.6032892549
2019-07-10,-2433204.04191665,-964037.7803404778,-1469166.261576172,-2433204.04191665
2019-07-11,-2764081.21159451,-1342083.3867867738,-1421997.824807736,-2764081.21159451
2019-07-12,-2525220.1641658153,-905214.1672027558,-1620005.9969630595,-2525220.1641658153
2019-07-13,-3706907.1851836145,-1359377.3608170897,-2347529.824366525,-3706907.1851836145
2019-07-14,-4148352.784057845,-1332683.34344244,-2815669.440615405,-4148352.784057845
2019-07-15,-3325412.097444754,-2924473.5632723644,-400938.53417238966,-3325412.097444754
2019-07-16,-4024941.8071270995,-143910.97146634758,-3881030.835660752,33714.969065036625
2019-07-17,-1407483.1401674934,-1158273.6254032515,-249209.51476424187,-1407483.1401674934
2019-07-18,-4698405.907953882,-1332025.9565448612,-3366379.9514090205,-4698405.907953882
2019-07-19,-2368033.4746128134,-2164280.8107617497,-203752.6638510637,-2368033.4746128134
2019-07-20,-2576297.620912982,-810665.4111342579,-1765632.2097787242,-2576297.620912982
2019-07-21,-1103169.305566389,-2050659.1718330495,947489.8662666604,-1103169.305566389
2019-07-22,349410.4185811579,261785.57621207647,87624.84236908145,349410.4185811579
2019-07-23,1214569.815953359,-542491.7358240932,1757061.5517774522,1214569.815953359
2019-07-24,-2327344.78452464,1440820.5521266013,-3768165.3366512414,-2327344.78452464
2019-07-25,-811133.3263295651,-271766.64367230725,-539366.6826572579,-811133.3263295651
2019-07-26,276028.1622514203,-802657.1352335941,1078685.2974850144,276028.1622514203
2019-07-27,-807474.2651066296,-1665697.5346579999,858223.2695513703,-807474.2651066296
2019-07-28,168101.52433237433,607340.3151437026,-439238.7908113282,168101.52433237433
2019-07-29,-1611891.4472679691,-1527771.0252090958,-84120.42205887334,-1611891.4472679691
2019-07-30,-555715.0653631408,-714064.526640567,158349.46127742622,-555715.0653631408
2019-07-31,308991.44765390456,414863.930939734,-105872.48328582942,308991.44765390456
2019-08-01,-1207543.3200662322,-559868.4906888008,-647674.8293774314,-1207543.3200662322
2019-08-02,-3024783.507969022,-1920494.923664853,-1104288.5843041688,-3024783.507969022
2019-08-03,694956.5243176594,419218.1560283024,275738.36828935705,694956.5243176594
2019-08-04,-744894.65910732,-447560.61765350215,-297334.04145381786,-744894.65910732
2019-08-05,-1667133.8513002144,-1553194.9595784289,-113938.89172178553,-1667133.8513002144
2019-08-06,-1979848.7805159716,-1855787.351361379,-124061.42915459257,-1979848.7805159716
2019-08-07,-1659697.0627643112,-1203681.9960025242,-456015.06676178705,-1659697.0627643112
2019-08-08,-1302576.1013238393,-1802708.552222535,500132.45089869574,-1302576.1013238393
2019-08-09,1233662.76727062,99191.34775651991,1134471.4195141,1233662.76727062
2019-08-10,-491359.82235489227,27943.754529976286,-519303.57688486855,-491359.82235489227
2019-08-11,682931.5431218373,-258844.64537914097,941776.1885009783,682931.5431218373
2019-08-12,-103178.16243743664,-675601.952411697,572423.7899742604,-103178.16243743664
2019-08-13,1573577.7131087407,-1060060.8568188697,2633638.5699276105,1573577.7131087407
2019-08-14,670082.76737215,-757088.5789726228,1427171.3463447727,670082.76737215
2019-08-15,-4757356.326766879,-761681.7835701257,-3995674.5431967536,-584055.8430387415
2019-08-16,797221.7155772783,466763.8106891066,330457.9048881717,797221.7155772783
2019-08-17,-135474.70551997982,-277365.0043712454,141890.29885126557,-135474.70551997982
2019-08-18,470636.00528539345,640367.5845381208,-169731.57925272733,470636.00528539345
2019-08-19,1819888.216562213,-475762.21046485007,2295650.427027063,1819888.216562213
2019-08-20,-3328021.441283051,-424736.9091960639,-2903284.532086987,-3328021.441283051
2019-08-21,-140939.48624307662,223905.74526266195,-364845.2315057386,-140939.48624307662
2019-08-22,1574460.8870558161,-455882.78231292963,2030343.6693687458,1574460.8870558161
2019-08-23,784151.1326694591,940607.9767712536,-156456.84410179453,784151.1326694591
2019-08-24,-291879.71851813793,-758695.5740092862,466815.8554911483,-291879.71851813793
2019-08-25,1293698.6356710494,-390742.8252707273,1684441.4609417766,1293698.6356710494
2019-08-26,-458499.4581896411,-918800.470366363,460301.0121767218,-458499.4581896411
2019-08-27,583988.4166927608,-195287.0051016542,779275.421794415,583988.4166927608
2019-08-28,1914204.1040636487,-684949.4557420919,2599153.5598057406,1914204.1040636487
2019-08-29,1798096.2926696073,-738921.582220465,2537017.8748900723,1798096.2926696073
2019-08-30,1925036.6857118555,-14754.750241990201,1939791.4359538457,1925036.6857118555
2019-08-31,1360755.40571893,-1410190.2637744397,2770945.6694933698,1360755.40571893
2019-09-01,1128482.466606319,-956647.8422159404,2085130.3088222593,1128482.466606319
2019-09-02,2862705.721741993,-1001525.8158783764,3864231.5376203693,2862705.721741993
2019-09-03,1209165.5222068243,432454.8058939064,776710.7163129179,1209165.5222068243
2019-09-04,-446117.14931207895,-248067.99638758786,-198049.1529244911,-446117.14931207895
2019-09-05,653322.032332249,36057.16225205548,617264.8700801935,653322.032332249
2019-09-06,2584932.3897595927,2081354.0604911,503578.32926849276,2584932.3897595927
2019-09-07,-1496638.6143709347,382635.3612331301,-1879273.9756040648,-1496638.6143709347
2019-09-08,1828961.9696167726,-684844.7979165614,2513806.767533334,1828961.9696167726
2019-09-09,57452.117923069745,-187684.12135078758,245136.23927385733,57452.117923069745
2019-09-10,-1008903.1689174231,1462415.3904548138,-2471318.559372237,-1008903.1689174231
2019-09-11,2459644.8613733063,522051.67849460244,1937593.1828787038,2459644.8613733063
2019-09-12,-613982.909283543,0.0,-613982.909283543,-613982.909283543
2019-09-13,508887.38556008786,40099.77779622376,468787.6077638641,508887.38556008786
2019-09-14,8505.240391097963,-573200.3855346292,581705.6259257272,8505.240391097963
2019-09-15,732598.4791844822,555642.0531145334,176956.42606994882,732598.4791844822
2019-09-16,2059320.911016889,-146137.01169866603,2205457.922715555,2059320.911016889
2019-09-17,1321963.4701025523,-706877.8189235926,2028841.289026145,1321963.4701025523
2019-09-18,743120.6386606656,-15679.720089897513,758800.3587505631,743120.6386606656
2019-09-19,137658.31413790956,-558950.9142168015,696609.2283547111,137658.31413790956
2019-09-20,1134103.9565941244,317483.03226585686,816620.9243282676,1134103.9565941244
2019-09-21,26368.284139756113,269237.9173743874,-242869.63323463127,26368.284139756113
2019-09-22,1136694.8998048715,-663703.4155588684,1800398.31536374,1136694.8998048715
2019-09-23,-1176263.0648572035,-583022.2936289031,-593240.7712283004,-1176263.0648572035
2019-09-24,781321.5107691698,-190735.7808277877,972057.2915969575,781321.5107691698
2019-09-25,1216110.406656037,-653488.2363774553,1869598.6430334924,1216110.406656037
2019-09-26,-983121.7256518546,-181077.83444657922,-802043.8912052754,-983121.7256518546
2019-09-27,2295145.5489214156,-1649562.6233706758,3944708.1722920914,2295145.5489214156
2019-09-28,-606410.8455177881,-521091.756556157,-85319.08896163106,-606410.8455177881
2019-09-29,141432.9463389702,-673189.448774226,814622.3951131962,141432.9463389702
2019-09-30,423842.4847587161,53297.775407675654,370544.7093510404,423842.4847587161
2019-10-01,2484549.9919095132,1596601.3399814246,887948.6519280886,2484549.9919095132
2019-10-02,-170762.5001876112,-225446.69309758116,54684.19290996995,-170762.5001876112
2019-10-03,1020468.0963630565,285530.67202255176,734937.4243405047,1020468.0963630565
2019-10-04,-97776.83514901437,80140.66668137,-177917.50183038437,-97776.83514901437
2019-10-05,-748270.6692119688,1087363.9295578748,-1835634.5987698436,-748270.6692119688
2019-10-06,794999.6672242694,-17636.505167618394,812636.1723918878,794999.6672242694
2019-10-07,-2836541.472994387,-1204003.0356734395,-1632538.4373209476,-2836541.472994387
2019-10-08,1977765.491855096,680470.2825101167,1297295.2093449794,1977765.491855096
2019-10-09,-1451747.824921498,-255013.10189833678,-1196734.7230231613,-1451747.824921498
